class,length,DB,early1,early2,early3,mid1,mid2,mid3,late1,late2,late3,stat1,stat2,stat3,pH 5.5 1,pH 5.5 2,pH 5.5 3,pH 6 1,pH 6 2,pH 6 3,pH 7 1,pH 7 2,pH 7 3,pH 7.5 1,pH 7.5 2,pH 7.5 3,13C 1,13C 2,13C 3,20C 1,20C 2,20C 3,NaCl 0.05 1,NaCl 0.05 2,NaCl 0.05 3,NaCl 0.1 1,NaCl 0.1 2,NaCl 0.1 3,MetOH 0.1 1,MetOH 0.1 2,MetOH 0.1 3,MetOH 1 1,MetOH 1 2,MetOH 1 3,TX 0.05 1,TX 0.05 2,TX 0.05 3,TX 0.1 1,TX 0.1 2,TX 0.1 3
PE [34:1],34,1,2.132484159,2.135781366,2.155907592,2.042576739,2.02317372,2.054534138,1.885249863,2.010486641,1.903082468,1.417716768,1.391361505,1.42318492,2.816713852,2.879670555,2.88612723,2.561202009,2.607067371,3.683717511,1.898636387,1.88345713,1.857992572,2.097030447,1.30580672,1.342606505,0.841293691,0.828353216,0.843389516,0.840820125,0.899771059,0.879185708,1.59135106,1.568814151,1.598731913,1.416376779,1.429154097,1.422634478,2.180966833,2.060683189,2.114067097,2.266684539,2.384763855,2.158622955,1.976652455,1.471727439,1.741298998,1.525105786,1.688233488,1.629861812
PE [34:2],34,2,5.448459538,5.453957351,5.775364766,6.158172028,5.984951888,6.132391974,6.142844739,5.736472682,5.551825109,6.673913961,6.497205806,6.870286732,5.412055967,5.411919845,5.785837789,5.281048032,5.228712494,7.584278671,5.752175224,5.773423508,6.151039385,6.005158263,6.328972275,6.300461557,4.211765048,4.260504858,4.429725928,3.784135784,3.907420311,3.599205032,5.744526206,5.800751803,6.179243858,7.027441556,7.216962211,7.238311348,4.801479922,4.92218186,5.067574296,5.368338661,5.556813169,5.147969874,7.376246406,5.918780681,6.000124087,5.804306473,7.446057401,6.167762697
PE [36:1],36,1,1.36044616,1.299719983,1.313036852,1.248521947,1.285282926,1.21895388,1.124920658,1.196547087,1.16878888,0.704505312,0.668623791,0.661201158,1.601474684,1.636058057,1.500184729,1.495583749,1.471817638,2.1663587,0.998907195,0.935705277,0.918507749,0.97079294,1.007654405,1.069355811,0.265123648,0.239187105,0.246945724,0.356743423,0.363542648,0.339317543,0.913441112,0.922989638,0.985750551,0.853626073,0.806595362,0.802338428,1.481314765,1.429321908,1.414187522,1.329902516,1.256450139,1.393686101,0.984899332,0.637397242,0.836884402,0.67394385,0.740863148,0.733316324
PE [36:2],36,2,26.26757657,25.60035634,25.76911322,25.33423723,25.65996473,25.02319679,24.43998992,24.56129224,24.10384212,16.28096161,16.1689944,16.4125735,20.56394915,20.6420057,20.72241043,22.56385021,22.78692115,32.66507023,22.74900789,22.63784467,22.55594191,22.86216753,22.5639061,23.70964031,20.21714302,19.75341222,19.8273367,21.45408046,21.85456281,21.88756124,20.92741554,20.60611615,21.14961685,17.9449936,18.27058503,18.15816489,24.86887252,24.95154202,24.32992262,23.54883437,23.09148508,22.73095978,23.7954271,17.80532393,21.02608296,17.15619877,21.03283188,18.99319934
PE [36:3],36,3,0.066723651,0.097660097,0.086173778,0.12174247,0.107780826,0.112331339,0.121166828,0.054935356,0.08584776,0.042149563,0.057023665,0.062945916,0.144374904,0.092719718,0.171997334,0.124794266,0.123979235,0.21087984,0.04181097,0.050768813,0.082460145,0.102190292,0.129173534,0.144236145,4.562355527,4.628999105,4.807042338,2.370187972,2.352372963,2.282177192,0.052377888,0.044590344,0.075691317,0.048817073,0.087701009,0.091141452,0.068580568,0.072310736,0.080317485,0.054143336,0.043713553,0.041580439,0.085350593,0.055757237,0.052951253,0.029048218,0.025535967,0.048968474
PG [32:1],32,1,0.157085113,0.230766489,0.245128105,0.229657736,0.235474916,0.219052853,0.232149934,0.254970251,0.20753386,0.667742647,0.68823666,0.662374698,0.443236012,0.444664241,0.414435613,0.313077381,0.305201546,0.114757504,0.239621901,0.29421232,0.297403541,0.577587536,0.324933608,0.298593311,0.057459401,0.094928769,0.096305411,0.076627845,0.088996045,0.081694576,0.24886843,0.270294877,0.263380637,0.372934338,0.387707403,0.391622185,0.213235717,0.220287538,0.228967157,0.311967077,0.356228255,0.305702629,0.278329274,0.326049554,0.290078796,0.32180043,0.231680704,0.304111667
PG [34:1],34,1,2.387306194,2.563435979,2.535134421,2.346108019,2.343719231,2.402768188,2.382229882,2.481530816,2.511300654,2.978289006,3.106227908,3.041262076,4.12576822,4.133608513,4.033817031,3.356461542,3.395030651,1.344170645,2.608748282,2.664290797,2.575546783,2.846707761,2.14284742,2.023099262,1.068817563,1.095969122,1.093343337,1.108710734,1.113733401,1.17254327,2.290399947,2.426536686,2.308564756,2.569148205,2.537653584,2.614352379,2.379901365,2.32077985,2.38610005,2.734631817,2.947077178,2.842524129,2.257682862,2.405877656,2.427895253,2.282887861,1.67819016,2.443111535
PG [34:2],34,2,4.549409201,4.803167823,4.868240225,4.980800738,4.792760559,5.034319214,5.173481325,5.112080916,5.074427864,8.154340849,8.317356321,8.288159015,5.654395187,5.6946585,5.567716292,4.955588822,4.993591671,1.948261975,5.200701009,5.23122414,5.561017669,5.943942677,6.356569389,6.015690308,2.657542572,2.822367787,2.858851473,2.838485816,2.821974768,2.816543174,5.377817471,5.765620417,5.705558686,7.463563503,7.248758412,7.421554548,4.156429731,4.180790723,4.270925465,4.877727448,5.128742187,5.211229788,5.924046594,6.24297799,5.705246309,6.24242278,4.216429387,6.285248437
PG [36:2],36,2,34.56208193,36.19518524,35.1486246,34.4920107,34.92791883,34.31789606,35.65347176,36.95392298,36.75793299,37.09722958,37.84833007,36.73797049,33.11711942,32.78642834,31.83425085,33.43754478,33.50501731,13.37417207,34.07979565,34.33582451,34.40240446,36.11175822,36.06382901,35.93760885,32.2539846,32.33707936,31.76936046,32.97954112,32.84080827,33.76972249,34.13478664,34.68313686,33.84691248,35.19159069,34.05531758,34.32973375,32.56556148,32.22199097,32.03789205,33.13548512,33.03678494,33.9368362,33.88128279,33.73483942,33.95319627,34.20924814,21.55129824,33.3245493
PG [36:3],36,3,0.042743395,0.040180974,0.06000031,0.066601893,0.042280036,0.085634397,0.053938386,0.091287979,0.038529064,0.12365523,0.107310692,0.105260573,0.028230405,0.018980453,0.02099799,0.026175707,0.016144511,0.012777282,0.019077534,0.018947862,0.048814923,0.106669692,0.197627722,0.127309097,0.512886289,0.510969807,0.514560668,0.269743112,0.258924122,0.282326721,0.018207427,0.032886127,0.020089854,0.079649684,0.104536369,0.097466923,0.026872505,0.026509829,0.024834977,0.020072062,0.027101709,0.031556473,0.046959332,0.074303287,0.032724242,0.051734567,0.017971015,0.046726892
